               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.018391,           0.0074953,           0.0020929,             0.86335,             0.78534,             0.83811,             0.57333,            0.026556,           0.0057033,           0.0073503,            0.002377,            0.002377,            0.002377
                  79,             0.01814,            0.007253,             0.00201,             0.90196,             0.77025,             0.83572,             0.58254,            0.025728,           0.0056626,           0.0075081,            0.002278,            0.002278,            0.002278
                  80,            0.018398,           0.0072175,           0.0020333,             0.87885,             0.78015,             0.83486,             0.57948,            0.025901,            0.005691,           0.0077817,            0.002179,            0.002179,            0.002179
                  81,            0.018336,           0.0072313,           0.0020897,             0.87379,              0.7842,             0.83377,             0.57308,            0.025978,           0.0056512,           0.0082582,             0.00208,             0.00208,             0.00208
                  82,            0.017746,           0.0071564,           0.0018802,             0.88454,             0.77165,             0.83109,             0.57542,             0.02591,           0.0056335,           0.0080125,            0.001981,            0.001981,            0.001981
                  83,            0.017887,            0.007253,           0.0018577,             0.89071,             0.77263,             0.83736,             0.57878,            0.025954,           0.0056868,           0.0072294,            0.001882,            0.001882,            0.001882
                  84,            0.017423,           0.0072265,           0.0019925,             0.88479,             0.77199,             0.83664,             0.57918,             0.02596,           0.0056976,           0.0074007,            0.001783,            0.001783,            0.001783
                  85,            0.017331,           0.0072089,           0.0016469,             0.88522,             0.77913,             0.83955,             0.58371,            0.025659,            0.005654,           0.0074406,            0.001684,            0.001684,            0.001684
                  86,            0.017115,           0.0072378,           0.0016898,             0.90219,             0.76376,             0.83688,             0.58234,            0.025612,           0.0056485,           0.0070684,            0.001585,            0.001585,            0.001585
                  87,             0.01735,           0.0070379,           0.0017835,             0.89325,             0.76403,             0.83213,             0.57585,            0.026105,           0.0056231,            0.007504,            0.001486,            0.001486,            0.001486
                  88,            0.017199,           0.0069505,           0.0019116,             0.90207,             0.76864,             0.84313,             0.58458,            0.025577,           0.0056171,           0.0073499,            0.001387,            0.001387,            0.001387
                  89,            0.016914,           0.0069749,           0.0016019,             0.87305,             0.78578,             0.83971,             0.58239,            0.025771,           0.0056421,           0.0074887,            0.001288,            0.001288,            0.001288
                  90,            0.016991,           0.0070406,           0.0014854,              0.9101,             0.76801,             0.84396,             0.58686,             0.02575,           0.0056503,           0.0075484,            0.001189,            0.001189,            0.001189
                  91,            0.016541,           0.0069854,           0.0015621,             0.90009,             0.77597,             0.84306,             0.58387,             0.02581,            0.005624,           0.0071426,             0.00109,             0.00109,             0.00109
                  92,            0.016402,           0.0067889,           0.0016089,             0.89168,             0.78743,             0.84402,             0.58266,            0.025916,           0.0056375,           0.0071699,            0.000991,            0.000991,            0.000991
                  93,            0.016399,           0.0070187,           0.0014281,              0.9059,             0.76679,             0.84228,             0.58109,            0.025759,           0.0056633,           0.0077736,            0.000892,            0.000892,            0.000892
                  94,              0.0166,           0.0068507,           0.0014857,             0.89185,              0.7734,             0.84188,             0.58369,            0.025734,           0.0056661,           0.0077605,            0.000793,            0.000793,            0.000793
                  95,            0.016243,           0.0068153,           0.0015527,             0.90044,             0.77331,             0.84509,             0.58728,            0.025777,           0.0056814,           0.0075575,            0.000694,            0.000694,            0.000694
                  96,            0.016263,            0.006897,           0.0014176,             0.90264,             0.77716,             0.84584,             0.58571,            0.025758,           0.0056466,           0.0074794,            0.000595,            0.000595,            0.000595
                  97,            0.016152,           0.0070098,           0.0013835,             0.90141,             0.78203,             0.84966,             0.59154,            0.025473,           0.0056047,           0.0073699,            0.000496,            0.000496,            0.000496
                  98,            0.016257,           0.0068434,           0.0014012,             0.91092,             0.77392,             0.84975,             0.58919,            0.025488,           0.0056255,           0.0073934,            0.000397,            0.000397,            0.000397
                  99,            0.015737,           0.0067146,           0.0013281,             0.91466,             0.76549,              0.8472,             0.58379,            0.025767,             0.00567,           0.0073398,            0.000298,            0.000298,            0.000298
